group,title,code,file,naming
Profondità dei Memento,Corridoio della prigione,RMAP_161_5_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Corridoio della prigione - RMAP_161_5_0.png,tabella ROADMAP
Profondità dei Memento,Corridoio della prigione,RMAP_161_6_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Corridoio della prigione - RMAP_161_6_0.png,tabella ROADMAP
Profondità dei Memento,Area 006,RMAP_161_6_1,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Area 006 - RMAP_161_6_1.png,codice conservato; nome area assente o ambiguo
Profondità dei Memento,Vuoto cavernoso,RMAP_161_7_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Vuoto cavernoso - RMAP_161_7_0.png,tabella ROADMAP
Profondità dei Memento,Corridoio della prigione,RMAP_161_8_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Corridoio della prigione - RMAP_161_8_0.png,tabella ROADMAP
Profondità dei Memento,Corridoio della prigione,RMAP_161_9_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Corridoio della prigione - RMAP_161_9_0.png,tabella ROADMAP
Profondità dei Memento,Corridoio della prigione,RMAP_161_10_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Corridoio della prigione - RMAP_161_10_0.png,tabella ROADMAP
Profondità dei Memento,Santuario,RMAP_161_11_0,mappe_luoghi/Profondita dei Memento/Profondita dei Memento - Santuario - RMAP_161_11_0.png,tabella ROADMAP
Shibuya,Mappa generale illustrata del quartiere,MAP_L_SHIBUYA,mappe_luoghi/Shibuya/Shibuya - Mappa generale illustrata - MAP_L_SHIBUYA.png,Codice quartiere nel nome archivio; nome italiano della stazione
Shibuya,Piazza della stazione,RMAP_001_1_0,mappe_luoghi/Shibuya/Shibuya - Piazza della stazione - RMAP_001_1_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Shibuya,Sottopasso,RMAP_001_2_0,mappe_luoghi/Shibuya/Shibuya - Sottopasso - RMAP_001_2_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Shibuya,Sottopasso,RMAP_001_2_1,mappe_luoghi/Shibuya/Shibuya - Sottopasso - RMAP_001_2_1.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Shibuya,Central Street,RMAP_001_3_0,mappe_luoghi/Shibuya/Shibuya - Central Street - RMAP_001_3_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Shibuya,Area 004,RMAP_001_4_0,mappe_luoghi/Shibuya/Shibuya - Area 004 - RMAP_001_4_0.png,codice conservato; nome area assente o ambiguo
Shibuya,Area 005,RMAP_001_5_0,mappe_luoghi/Shibuya/Shibuya - Area 005 - RMAP_001_5_0.png,codice conservato; nome area assente o ambiguo
Shibuya,Area 012,RMAP_001_12_0,mappe_luoghi/Shibuya/Shibuya - Area 012 - RMAP_001_12_0.png,codice conservato; nome area assente o ambiguo
Shinjuku,Mappa generale illustrata del quartiere,MAP_L_SHINJUKU,mappe_luoghi/Shinjuku/Shinjuku - Mappa generale illustrata - MAP_L_SHINJUKU.png,Codice quartiere nel nome archivio; nome italiano della stazione
Shinjuku,Quartiere a luci rosse,RMAP_006_1_0,mappe_luoghi/Shinjuku/Shinjuku - Quartiere a luci rosse - RMAP_006_1_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
Yongen-Jaya,Mappa generale illustrata del quartiere,MAP_L_YONCHA,mappe_luoghi/Yongen-Jaya/Yongen-Jaya - Mappa generale illustrata - MAP_L_YONCHA.png,Codice quartiere nel nome archivio; nome italiano della stazione
Yongen-Jaya,Vicoli,RMAP_009_2_0,mappe_luoghi/Yongen-Jaya/Yongen-Jaya - Vicoli - RMAP_009_2_0.png,"tabella italiana dei luoghi, campo major/minor e spawn 0"
